nid,title,,,projectshort,projectcity,projectstate,office,category,,projectowner,architect,,developer,developertitle,projecttestimonialtext,projectpersonname,projectpersontitle,projectpersoncompany,weight,descrip
24,Macy's Downtown Portland,,,The renovation of this landmark store may be the most complex remodel we have ever completed.,Portland,Oregon,Portland,Historical Renovations,,Federated Retail Holdings Corp.,Linane/Drews Architects,,,,,,,,1,"Listed on the National Register of Historic Places, this incredible remodel of the landmark 16-story Meier & Frank store (now Macy's) may be the most complex remodel we have ever completed. Built in three phases between 1909 and 1930, it has undergone multiple renovations with limited documentation, so every day brought new surprises. Extensive seismic upgrades involved over 1.8M pounds of steel and rebar -  compressing ten floors into six led us to recycle over 8,000 tons of wood, sheetrock, concrete and steel. By closing the store midway into construction we were able to accelerate construction and open the store two months ahead of schedule."
25,The Benson Hotel Lobby and Bar Renovation,,,Meticulous renovation of the lobby restaurant and lounge in Portland's beautiful Benson Hotel.,Portland,Oregon,Portland,Historical Renovations,,Benson Hotel Limited Partnership,Karol Niemi Associates,,,,,,,,2,"The total transformation of this historic Portland landmark was completed in just four weeks while the hotel remained open to guests. The complete renovation of the Benson Hotel's Palm Court Restaurant and Lounge involved carefully matching new leaded glass windows, casework, marble flooring and furniture to ensure its match to the beautiful and historical pre-existing finishes that are present throughout the space."
26,Barge Hall at Central Washington University,,,This restoration of the school's first building won the State of Washington Historic Preservation Award.,Ellensburg,Washington,Portland,Historical Renovations,,Central Washington University,SERA Architects,,,,S.D. Deacon was an integral part of the team and were always willing to step in and help solve problems in this complex project. The quality of the finished product was superior and has returned the building to its original stature.,"John M. Holman, P.E.",Director of Facilities Management Department,Central Washington University,5,"Built in 1893, this restoration of the school's first building was scheduled to coincide with the university's 100-year anniversary. Upon completion, the project won the State of Washington Historic Preservation Award for the year. The work included extensive seismic upgrades and the replacement of the entire roof structure. Perhaps the most significant challenge involved restoration of the wood trim that, over the years, had received multiple coats of lead paint. We were able to develop a creative approach that saved the university $100,000. In all, we developed over $900,000 in value-engineering savings on the project."
27,Governor Hotel,,,"An extensive remodel of six floors, the lobby and the ballroom of the Governor Hotel.",Portland,Oregon,Portland,Historical Renovations,,Grand Heritage Hotel Group,"Barry R. Smith, PC Architect",,,,We started construction using only Schematic Drawings to fast track the work. This was only possible with the excellent communication between S.D. Deacon and the design team. We stayed within budget and were treated fairly when the scope changed.,Barry R. Smith,Architect,PC Architect,4,"Renovation of this grand hotel, listed on the National Register of Historic Places, involved work on six floors and the lobby of the hotel, as well as restoration of the ballroom in the adjacent Princeton Building. Access to the areas was severely limited as the work took place while both buildings remained open for business. The scope included relocating the lobby and reception areas, seismic upgrades and completion of a space for Starbucks, which had to be finished in just 28 days."
28,Hotel Modera,,,Complete internal and external transformation of a modern urban hotel.,Portland,Oregon,Portland,Hospitality,,Posh Ventures LLC,"Holst Architecture, P.C.",,,,"S.D. Deacon showed professionalism, teamwork and attention to detail, making this a pleasant experience. It is my experience that they always put their clients first and are proactive problem solvers.",Alan M. Battersby,Owner,Posh Ventures LLC,4,"In an amazing structural and architectural evolution, a Days Inn was transformed into a sleek, stylish, modern, urban hotel. Every part of the building was modified: all 174 guest rooms, the lobby, courtyard and garden. Additionally, the entire project was completed during a typical cold, wet northwest winter so the hotel would be ready in time for the annual Rose Festival celebration - just six months from start to finish. By shrink-wrapping and heating the entire building we were able to complete the exterior and interior work at the same time. The result was an award winning building that was finished on schedule and within the budget."
29,RiverPlace Hotel,,,This five-star hotel underwent a fast-track renovation while remaining open for business.,Portland,Oregon,Portland,Hospitality,,Larkspur Hotels,"GGLO, LLC",,,,,,,,7,"This five-star hotel underwent a complete interior renovation in a fast-paced 13 weeks while the hotel remained open for business. In order to allow the hotel to keep functioning, temporary operations were setup for the critical functions while the remodel took place. Highly detailed cherry and maple millwork was used throughout the lobby and business center. At the same time, all 74 guest rooms, the long-term suites, the bar and restaurant were completely renovated, in a phased manner, to keep each area operating."
30,Radiation Oncology Center at Meridian Park Hospital,,,Remodel and expansion of the treatment center included upgraded radiation shielding and new offices.,Tualatin,Oregon,Portland,Medical and Healthcare,,Meridian Park Oncology Center,Jon R. Jurgens & Associates,,,,I cannot speak highly enough of the outstanding job S.D. Deacon did to make our project a success. Most important was their obvious concern not to disrupt the patients undergoing treatment.,Bob Miller,Partner,Meridian Park Hospital,2,"This project included a remodel and expansion of a radiation treatment center that we originally completed over 20 years ago. The new work included the addition of 16-inch thick concrete walls for radiation shielding, upgrades to the existing MEP systems, a new wing of offices and an IT server room. All of this work took place while the center maintained a full schedule of radiation treatment for their patients. During one weekend, we removed the storefront of the building, installed the new 7,000 pound treatment machine and still had the facility ready to open on Monday morning."
31,Providence Parkrose Medical Center,,,"Ground up construction of a busy medical office facility, including medical labs.",Portland,Oregon,Portland,Medical and Healthcare,,Providence Medical Center,Jon R. Jurgens & Associates,,,,,,,,3,"Construction of this medical office building was challenging because of its location. Situated on the side of a hill, we took extra pains to carefully manage both the site groundwater drainage and the waterproofing details of the building itself to prevent water intrusion issues in the future. The scope of work included all the sitework, construction of the building shell and coordination of multiple tenant improvements for the doctors' offices and labs."
32,A Street Station,,,Mixed-use construction with office space above retail above parking.,Lake Oswego,Oregon,Portland,Mixed-Use,,Gramor Development,Sienna Architects,,,,,,,,8,"Located on a sloped street corner in downtown Lake Oswego, this mixed-use building features underground parking accessible from the daylight basement along the steep side of the lot. A zero setback along three sides of the building required shoring and temporary support of the nearby existing utility lines until construction of the mixed-use building was completed.  Additionally, this contract included the infrastructure for the adjacent townhouse project, including sitework and utility stubs for the subsequent townhome project."
33,Murray Scholls Town Center,,,"165,000 sf remodel and addition to the Murray Scholls Town Center.",Beaverton,Oregon,Portland,Mixed-Use,,Gramor Development,Sienna Architects,,,,,,,,2,"A true Town Center, this 165,000 sf remodel and addition consisted of six one- and two-story buildings housing business and medical offices, restaurants and retail tenants as well as extensive sitework improvements. Adding to the challenge of this busy construction project was the pre-existing occupied building at the center of the complex which remained open for business throughout construction. This necessitated numerous phases and extensive coordination with the tenant and design team to build the infrastructure in pieces, while maintaining service to the building."
34,Trillium Hollow Cohousing,,,"New construction of a 28-unit condominium complex, complete with covered parking.",Portland,Oregon,Portland,Multi-Family Housing,,Trillium Hollow Cohousing Corp.,"Robertson, Merryman, Barnes",,,,I want to thank you for assembling a team of highly competent people with consistently positive attitudes. S.D. Deacon displays a level of integrity I have not experienced in the construction industry before.,Chris Scotthanson,Owner's Representative,Cohousing Resources,2,"Located in a heavily forested and steeply sloped area, this building consists of three floors of condos built above underground parking. Before beginning the project, we worked closely with the homeowners and developer to identify enough cost saving ideas to bring expenses in line with their budget constraints. Adding to the challenge of an already difficult site was the requirement to maintain access to the ""common house"" throughout the project, despite there being only single road access to the site. Finally, we provided all 28 homeowners the opportunity to select their own custom finishes."
35,Newell Overlook Apartments,,,This 16 building apartment complex provides 125 units of low income housing for the community.,Oregon City,Oregon,Portland,Multi-Family Housing,,Newell Creek Limited Partnership,Raymond J. Bartel,,,,,,,,6,"This 16 building apartment complex provides 125 units of low income housing for the community. In addition to building the apartments, we installed all the sitework and constructed a recreation building for the residents. All of this work was made more challenging by the wet winter weather, steeply sloped site and single-road access in and out of the site."
36,Lloyd | Maris Advertising at Albers Mill,,,Transformation of an industrial building into elegant office space.,Portland,Oregon,Portland,Office,,Bill Naito Company,Group MacKenzie,,,,"S.D. Deacon has always been very responsive to our every need, no matter how big or small. It is a pleasure to work with a reliable and competent company - one we can consistently rely upon to deliver our projects on schedule and under budget.",Anne Naito,Owner,Bill Naito Company,2,We worked with Lloyd|Maris Advertising to transform existing laboratory workspace in the Albers Mill Building located in downtown Portland into the modern and elegant office environment it is today. One of the greatest challenges was removing the plaster wall surfaces without damaging the decades old brick beneath. The final touch was refurbishing the exposed timber framing for a unique internal accent.
37,Microtek Corporate Office,,,A modern construction project incorporating the principles of feng shui.,Hillsboro,Oregon,Portland,Office,,"Microtek Laboratories, Inc.",Group Mackenzie,,,,,,,,8,"In establishing the details of this design-build facility, we incorporated the principles of feng shui, the Chinese art of placement, for all design and layout decisions. This approach provided an interesting combination of this ancient art form with our modern-day, fast-track construction schedule. The completed building houses office space and manufacturing areas for this software design firm."
38,Tanger Outlet Center,,,The first phase of additions to the old Lincoln City Factory Stores.,Lincoln City,Oregon,Portland,Parking,,Charter Oak Partners,Shapiro Petrauskas Gelber,,,,"It was our good fortune and pleasure to have S.D. Deacon on this project. In addition to being professional and knowledgeable in the construction field, S.D. Deacon is one of the most honest and ethical we have worked with in a long time.",Dale E. Romero,Director of Construction,Charter Oak Partners,4,"The addition of this 280,000 sf precast concrete parking structure was the first phase of a project which then added 123,000 sf of retail space to what was previously called the Lincoln City Factory Stores. Very poor soil conditions added to the challenge of the fast-track project, which was completed while the retail stores in this 180,000 sf shopping center remained open for business."
39,A Street Station,,,Underground parking structure alongside a busy urban street corner.,Lake Oswego,Oregon,Portland,Parking,,Gramor Development,Sienna Architects,,,,,,,,5,"Building a parking structure beside a busy city sidewalk and street in downtown Lake Oswego made this project a particular challenge. Coordinating the construction of the zero lot line worksite required meticulous shoring, ground water control and temporary utility line support to complete the project."
40,Congregation Neveh Shalom,,,A multi-phase remodel and expansion of a vibrant Portland-area synagogue.,Portland,Oregon,Portland,Religious Facilities,,Congregation Neveh Shalom,Soderstrom Architects P.C.,,,,"In addition to S.D. Deacon's professional competence and skill, the entire experience was enhanced by their relationship building, open communication, warmth and professionalism each and every day.",Fred Rothstein,Executive Director,Congregation Neveh Shalom,1,"This project involved multiple phases which all took place while the facility remained in use. The scope included construction of a new chapel, additions to the administration building and renovation of the existing sanctuary and offices. Exterior work included a new courtyard with a water feature, covered walkways, ornamental gates and a sculptured stairway. Additionally, we provided  the documentation and construction approach needed to qualify for the Silver LEED certification."
41,Emmanuel Temple,,,Completion of an extensive addition already underway.,Portland,Oregon,Portland,Religious Facilities,,Emmanuel Temple Church,Architect LA,,,,S.D. Deacon went out of their way to make sure every detail of our needs were met.,"Bishop Wells, Ph.D.","Founder, Senior Pastor",Emmanuel Temple,4,"We negotiated a contract to complete this church remodel which had already been started by another firm. The scope of work included flanking the sanctuary with the addition of two wings totaling approximately 34,300 sf. The structural system utilized Insulated Concrete Forms (ICF) for the 25 foot tall walls. Today, years after completion of the construction, we are supporting the church, pro bono, in its effort to refinance and redevelop the remainder of the property."
42,Domaine Serene Winery,,,A series of restoration projects at an award-winning Willamette Valley winery.,Dayton,Oregon,Portland,Repair and Restoration,,"Gold Eagle Properties, LLC","Wiss, Janney, Elstner Associates",,,,I am always impressed with Deacon's ability to seamlessly deliver a project with great results.,Mike Marino,Owner's Representative,M. Marino Consulting,8,"We began our work for this client with the repair of the stucco cladding on their primary residence. Our success with that project led to four others within the winery complex itself. The Bunkhouse, a beautiful 3,000 sf timber-framed guesthouse, was completed next. We then completed a reclad of the winery and expansion of the fermentation / warehouse building that had to be completed within 2.5 months. Finally, we built the 12,000 sf underground barrel aging building which utilized cast-in-place concrete walls and a core plank concrete roof."
43,Quimby Townhomes,,,Restoration of the building envelope of a three-story Pearl District condominium complex.,Portland,Oregon,Portland,Repair and Restoration,,Quimby Townhomes Condo. Assoc.,"Raymond J. Bartel, Architect",,,,"A wise decision was made by choosing Remco Deacon for our project. They are courteous, helpful and eager NOT to disturb our lives. We are also grateful for how clean and safe they always kept the work space.",Anonymous,Resident,Quimby Townhomes,10,"Located in Portland's downtown Pearl District, access and staging for this project was very limited. Repair of the condominiums required replacement of the brick veneer, siding and windows throughout the complex of three-story buildings. In order to assure the safety of the residents, we installed safety tunnels to each of the five buildings."
44,IKEA,,,Construction of the anchor store for Cascade Station near the Portland International Airport.,Portland,Oregon,Portland,Retail,,"IKEA Property, Inc.",Ware Malcom,,,,"There wasn't a day when we weren't asked by S.D. Deacon's superintendent if there was anything we needed. We knew that all we had to do was ask and, if it was possible, the S.D. Deacon staff would provide it for us.",Bret J. Smith,NE Precinct Commander,Portland Bureau of Police,2,"IKEA's Cascade Station center lies near the banks of the Columbia River. This two-story project contains 280,000 sf of shopping space, a children's play area and a 250-seat restaurant. This location, near the airport and in an ancient riverbed, created the additional challenges of coordinating with the FAA and soil conditions requiring deep piles and an extensive array of grade beams. The project has achieved LEED Certification. Additionally, S.D. Deacon received a special commendation from the Portland Bureau of Police for the extra level of cooperation we provided leading up to the store's grand opening."
45,Cascade Plaza,,,"Five new retail buildings at Beaverton's Cascade Plaza, including individual tenant improvements.",Beaverton,Oregon,Portland,Retail,,Harsch Investment Properties,Baysinger Partners,,,,"S.D. Deacon has absolutely exceeded my expectations. Every time I get nervous and ask for updates on project progress, I say to myself, 'It can't be done,' but S.D. Deacon makes it happen.",Randy Kyte,Senior Vice President,Harsch Investment Properties,7,"This multi-phased project included the demolition of existing buildings and a water tower, a complete sitework package and the construction of five new building shells, totaling over 100,000 sf. Additionally, exterior facelifts and remodels were performed on more than 160,000 sf of existing tenants. Turn-key tenant improvements, meeting the unique demands of individual retailers, were completed for Best Buy, Ross Dress for Less and PetSmart."
46,Albertson College of Idaho - Athletic Complex,,,Academic athletic complex including competition basketball and swimming facilities.,Caldwell,Idaho,Portland,Sports and Recreation,,Albertson College of Idaho,"Zimmer, Gunsul, Frasca Partnership",,,,S.D. Deacon's leadership in handling the various subcontractors is of the finest quality and their performance is exceeding our expectations.,"Robert L. Hendren, Jr.",President,Albertson College of Idaho,3,"This facility features the college's basketball arena and competition swimming pool, along with underground weight rooms, offices and classrooms. The 150-foot clear-span roof structures in the basketball arena and pool utilize a glue-lam compression ring support system.
Constructing much of the project through the cold and wet Idaho winter made the work more challenging. The facility was completed on time and within the tight budget constraints of the client."
47,Hilander Bowl,,,Transformation of a former grocery store into an enclosed family fun center.,Kelso,Washington,Portland,Sports and Recreation,,Hilander Lanes F.E.C.,Architectural Concepts,,,,,,,,2,"This project involved the extensive conversion of a grocery store into a 40,500 sf indoor family fun center. The remodel included a carousel with hand-painted horses, laser tag, arcade, restaurant and bar, and a bowling area with raised floor elevations to accommodate the bowling lanes. A primary challenge involved the carousel that was imported from Argentina.  Before it could be cleared for use, the electrical power panel had to be converted to U.L. standards, a lengthy process which had to be expedited in order to be complete in time for the opening."
48,Spirit Mountain Casino,,,"A 135,000 sf addition to the Spirit Mounatin Casino in Grand Ronde.",Grand Ronde,Oregon,Portland,Theater and Entertainment,,Spirit Mountain Casino,Group MacKenzie,,,,,Randy Dugger,COO,"Spirit Mountain Gaming, Inc.",10,"We were excited to work on this two-story 135,000 sf addition to Spirit Mountain Casino. Housing a state-of the-art theater for live performances as well as offices, gaming facilities, a bingo parlor, assembly spaces, a buffet and elaborate kitchen, this was the largest project the tribe had ever undertaken. Additionally, we were asked to design/build two very public additions to the scope: the center courtyard water feature and the facility's new entry porte cochcre. Our success on the initial project led to our being selected to complete a large renovation inside the existing building."
50,Century Theaters at The Capital Mall and The Commons,,,Two multi-auditorium theaters featuring stadium seating and state-of-the-art audio and video equipment.,Multiple Locations,,Multiple Locations,Theater and Entertainment,,"Cinemark USA, Inc.",Fehlman Labarve,,Russell & Davis Architects,Architect,"From the first meeting, we discovered a remarkable attitude among S.D. Deacon: We challenged them with a grueling schedule which our landlord doubted we could make and S.D. Deacon responded with a can-do spirit that would not be broken by reality.",Don Harton,Vice President of Design and Construction,Century Theaters,10,"We have completed two projects for Century Theaters. First was a 14-screen theater inside a vacant space at Capitol Mall in Olympia. Before construction began, we learned that the space would be turned over to us without the underground utilities and slab on grade in place. Despite having to add this work to the schedule, we completed the project in only 80 days - in time for their grand opening. In Federal Way, we built a 16-screen complex which provides a cutting edge audio and visual experience for movie-goers. The main building is 4.5 stories high with 12"" thick precast walls and a lobby structure that rises seven stories with a ceiling height of 80 feet."
51,Nugget Markets,,,S.D. Deacon has either remodeled or built five Nugget Market stores valued at over $12.3M.,Multiple Locations,,Sacramento,Grocery,,Nugget Markets,McCandless & Associates Architects,,,,S.D. Deacon had the ability to extract the strengths of all the trades that worked with them on this project -  attention spent in sealing all details amazed me!,Jeff Albright,Director of Visual Merchandising,Nugget Markets,3,"Including the award winning Nugget Markets in Roseville and Davis, CA, we have completed five projects for this client totaling more than $12.3M and encompassing over 200,000 sf.  These negotiated projects made extensive use of artistically stained concrete slabs, exterior murals, massive entry tower elements and statuary mounted on the exterior walls."
52,Bel Air Supermarket,,,This client was incorporating energy efficient elements into their stores long before it became popular.,Multiple Locations,,Sacramento,Grocery,,"Broadstone Marketplace, LLC",Rauschenbach Marvelli Becker,,,,The ability of your project team to coordinate the activities of the multitude of people involved in this project could not have been better.,Dave Powell,,Pacific Development Group,2,"We have completed more than a dozen projects for this family-owned regional supermarket chain over the course of 20 years. Work has included major remodels of operating stores, several Food Source warehouse stores and three up-scale Bel Air Markets. Truly ahead of their time, this client was incorporating energy efficient elements into their stores long before it became popular. The use of skylights with sales fixture mounted lighting as well as innovative heating and cooling systems were common."
53,Coherent,,,"Specialty finishes embellish this 60,000 sf manufacturing / office facility.",Auburn,California,Sacramento,High-Tech and Industrial,,"Coherent, Inc.","Jordon Knighton, AIA",,,,,,,,2,"This 60,000 sf tilt-up manufacturing / office facility for the laser manufacturer featured a unique ""salt and pepper"" finish on the panels created by using a special aggregate in the concrete mix. The employee dining room features extensive use of sloped glazing and a cast in place concrete fireplace which matches the exterior panel finish."
54,Southern Pacific,,,Redundant systems provide additional safety for this railway dispatch and control hub.,Roseville,California,Sacramento,High-Tech and Industrial,,Southern Pacific Transportation Co.,Ehrlich-Rominger,,,,,,,,7,"Used for dispatching and controlling all trains west of El Paso Texas, the Western Region Transportation Center included a 28,000 sf fasttrack interior fit-Gp with controller offices outfitted with precise climate and lighting controls. For safety, the entire facility has many redundant systems."
55,Marriott Hotels,,,S.D. Deacon has built two unique projects for this hospitality giant.,Multiple Locations,,Sacramento,Hospitality,,"Four Seasons Associates, LLC",Law Kingdon,,,,,,,,2,"We have completed two projects for Marriott in California: the Courtyard in Los Altos and the three-facility campus project in Sacramento. Built over subterranean parking and with all the amenities of an up-scale hotel, the Courtyard's primary challenges were proper placement of over 4,500 imbeds, moisture-sensitive soils and restricted site access. Staging areas were limited, but use of a specialized crane shaved two months from the schedule. The Hotel Campus included a Courtyard, Town Place and Fairfield Inn. Upon completion, we had replaced all the site amenities and built two new buildings, as well as renovating the existing buildings."
56,Larkspur Landing,,,S.D. Deacon has completed seven projects over the course of nine years.,Multiple Locations,,Sacramento,Hospitality,,"Campbell Landing Hotel Company, LLC",Musil Group Architects,,,,It is a pleasure to work with S.D. Deacon. Their hard work and attention to detail on the project is evident in the final product and deserves recognition.,Chris Passero,Project Manager,Larkspur Hospitality,5,"These residence hotels included both public and private spaces. Each of the individual guest rooms contained a full kitchen with shared meeting and living rooms as well as laundry facilities, exercise room, a business center, swimming pool and spa. Additionally, the staff was provided new administrative spaces and computer connectivity was wired throughout the building."
57,Medical Office Building 5,,,"A 60,000 sf medical office building on the Sutter Health medical campus.",Roseville,California,Sacramento,Medical and Healthcare,,"MOB 5, LLC",HGA Architects and Engineers,,,,S.D. Deacon performed in a most professional manner to meet an aggressive schedule. The proactive approach and the team process to problem solving are reflected in the quality of the construction.,Greg Myre,Director of Construction,Granite Bay Ventures,1,"Located on the Sutter Health medical campus, construction of this 60,000 sf Class A medical office building consisted of a two-story steel frame structure with detailed finishes to match the adjacent hospital. This negotiated project also included all mechanical and electrical systems and interior construction for twelve medical office suites. Sitework and utility relocation was performed within an operating medical campus."
58,Chapa-De Health Care Facility,,,This medical building was constructed to house all facilities for a large Native American outpatient clinic.,Grass Valley,California,Sacramento,Medical and Healthcare,,Chapa-De Indian Health Care Program,Elaine M. Lieske Architects,,,,"We wanted to take a moment and let you know how we appreciate S.D. Deacon's team communication, coordination and consistency. As always, safety is a concern and S.D. Deacon helped IES complete this difficult project with ZERO incidents.",Michael Potts,Design Build Sales Engineer,Indoor Environmental Services,4,"The second major project for Chapa-De Indian Health Care Program, this 28,000 sf multi-purpose medical building was constructed to house all facilities for a large Native American outpatient clinic.  Included were medical, dental, laboratory, and mental health treatment facilities housed in multiple twelve-sided ""healing pods"" located on a rectangular spine, keeping with Native American cultural values. The building is an extremely complicated wood framed building with a metal roof."
59,Stonecreek Village Shopping Center,,,"This ""lifestyle center"" mixed-use project included office space, upscale retail units and restaurants.",Stockton,California,Sacramento,Mixed-Use,,Stone Brothers and Associates,"Callison Architecture, Inc.",,,,We are delighted with the finished product and have received many compliments on the attention to detail and quality of the center. I was very impressed with S.D. Deacon's commitment to the abbreviated schedule.,Michael Minson,,"M&M Stone, Inc.",1,"Stockton's first ""Lifestyle Center"" on the site of a former K-Mart anchored project, this 178,000 sf steel framed, mixed-use project included office space on the second floor and many upscale retail tenants and restaurants. We also built a two-story REI store within the project based on their new prototype style. The site amenities included water features and fireplaces which created spaces for visitors to gather."
60,Maritime Office Building,,,"This project consisted of new construction in an existing office park of a 17,900 sf two-story, tilt-up.",Elk Grove,California,Sacramento,Office,,SCE - Maritime,"Borges Architectural Group, Inc.",,,,,,,,9,"This project consisted of new construction in an existing office park of a 17,900 sf two-story, tilt-up that included hybrid metal roof with steel trusses. The exterior refinements included the installation of stone veneer and decorative wood columns.
This was a negotiated contract."
61,Pride Industries,,,This 17-acre site houses one of the largest employers of people with disabilities in the world.,Roseville,California,Sacramento,Office,,"Stanford Ranch I, LLC",Comstock Johnson Architects,,,,"The project was complex and S.D. Deacon handled the myriad of details superbly. With the help of the S.D. Deacon team, Pride created a facility that is unique in America, where people with disabilities can come to work in an awesome environment.",Michael Ziegler,President/CEO,Pride Industries,5,"We worked with the architect and program manager to construct a 187,000 sf headquarters for Pride Industries, one of the largest employers of people with disabilities in the world. The facility included office, manufacturing, equipment maintenance and electronics assembly space on a 17-acre site, allowing them to consolidate their scattered facilities under a single roof. Each project phase had to be coordinated with the lease expirations of former community facilities and the construction itself, which was complicated by the sensitive wetlands area which laid directly adjacent to the project site."
