guid,news_headline,news_short,news_long,news_date
32,Our Newest Partnership: BIP [Building Industry Products],"BIP designs products for the concrete industry, including the BIPChair and BIPClip which increases productivity and alleviates problems associated with wire tying. Visit bipclipcompany.com.","BIP designs products for the concrete industry, including the BIPChair and BIPClip which increases productivity and alleviates problems associated with wire tying. Visit bipclipcompany.com.",1317254400
33,S.D. Deacon Ranked at the Top!,"We don't like to brag, but Retail Traffic Magazine listed S.D. Deacon as one of the TOP Contractors of 2011. We placed 14th in retail shell construction volume and 7th in interior improvements.","We don&rsquo;t like to brag, but the Retail Traffic Magazine listed S.D. Deacon as one of the TOP Contractors of 2011. Among the TOP 25, we placed 14th in retail shell construction volume and 7th in interior improvements.",1318204800
34,2011 IDEAwards Winner,Congratulations to the architect team at Group Mackenzie for their Merit Award from the International Interior Design Association for the lobby at Deacon Development Group's Triangle Pointe Building!,Congratulations to the architect team at Group Mackenzie for their Merit Award from the International Interior Design Association for the lobby at Deacon Development Group's Triangle Pointe Building!,1319068800
35,S.D. Deacon Builds Two of the TOP 5 Largest Retail Projects in the U.S.,"Paragon Outlets at Livermore and Palladio at Broadstone, 42- and 55-acre retail centers, have been ranked as two of the Top 5 largest retail projects in the U.S. by Shopping Centers Today.","Paragon Outlets at Livermore and Palladio at Broadstone, 42- and 55-acre retail centers, have been ranked as two of the Top 5 largest retail projects in the U.S. by Shopping Centers Today.",1325376000
37,Our Irvine Office Will Be Honored at National Philanthropy Day Orange County,We are proud to be honored with the Outstanding Small Corporation or Business award at this year's National Philanthropy Day Orange County Awards Luncheon.,"The luncheon will be held at Hyatt Regency Orange County in Garden Grove with the theme of ""Giving is Always in Season."" In 2005, S.D. Deacon created the Deacon Charitable Foundation, which has made or will make grants totaling $32,500 to at least 15 local organizations by the end of 2012.
National Philanthropy Day Orange County is sponsored by the Orange County Chapter of the Association of Fundraising Professionals and is presented by the Orange County Register.",1344297600
38,Sustainability at Work Awards Gold Certification to Our Portland Office,Sustainability at Work recognizes companies that help make Portland clean and sustainable. Only a few businesses have received gold certification so we are proud of the achievement!,"Sustainability at Work offers comprehensive, free resources and expertise for Portland organizations seeking to create a more sustainable workplace.  These services are tailored to help each business conserve resources, improve efficiency, save money and provide a healthy and quality workspace for employees. To recognize and promote the work of businesses that have taken comprehensive and concrete actions to reduce carbon emissions, Sustainability at Work provides certification that is valid for three years.",1344384000
39,We Were Recently Honored with the Innovation in Philanthropy Award,The Deacon Charitable Foundation was one of three organizations/companies honored at the Portland Business Journal's Corporate Philanthropy awards.,"The spirit of giving was alive and well in Portland last Friday as companies large and small convened to celebrate the annual Corporate Philanthropy awards.
About 430 local executives and beneficiaries attended the awards luncheon. The event traditionally honors small, medium and large organizations for cash contributions to local nonprofits and charities, however this year's awards came with a new category recognizing creative partnerships.",1347580800
40,We Are Proud That Palladio at Broadstone Won Distinguished Retail Project,"Gorgeous project, creative design, New York RenovationMetro, remodeling creates its level of excellence.",http://www.bizjournals.com/sacramento/print-edition/2012/09/21/re-projects-2012-palladio-at-broadstone.html,1348185600
41,Our Portland Office is a Proud Silver Sponsor for the Oregon Governor's Occupational Safety and Health (GOSH) Conference 2013,"With more than 150 workshops, the GOSH Conference is the largest event of its kind in the Northwest. To be held March 4-7, at the Oregon Convention Center in Portland, it is now open for registration.","S.D. Deacon is a full service general construction firm that has been in business for more than 30 years. Their portfolio includes medical and hospitality projects in addition to major retailers such as IKEA, Target, Safeway and Whole Foods Market. Through their dedication to surpassing client expectations, ability to handle diverse and difficult projects, financial strength and competitive pricing, S.D. Deacon has emerged an industry leader throughout the western United States.",1359331200
42,Our Portland Office is the Proud Recipient of the Outstanding Service Award,We are the proud recipient of the Outstanding Service Award presented to us by Woodburn Company Stores. Since 1997 we have completed five phases of construction and are honored by this recognition.,"S.D. Deacon is a full service general construction firm that has been in business for more than 30 years. Their portfolio includes medical and hospitality projects in addition to major retailers such as IKEA, Target, Safeway and Whole Foods Market. Through their dedication to surpassing client expectations, ability to handle diverse and difficult projects, financial strength and competitive pricing, S.D. Deacon has emerged an industry leader throughout the western United States.",1359417600
43,We are Proud to be Ranked as the #1 Retail Contractor in California,This ranking is based on revenue from retail projects completed in 2012 by our California offices. The survey results are published annually by the Engineering News Record.,This ranking is based on revenue from retail projects completed in 2012 by our California offices. The survey results are published annually by the Engineering News Record.,1376265600
44,Our Portland office was honored with a Hospitality Industry Award by the Oregon Restaurant & Lodging Association,We are thrilled to be the 2013 ORLA Associate Member of the Year and appreciate being recognized for our contributions and service to the industry.,We are thrilled to be the 2013 ORLA Associate Member of the Year and appreciate being recognized for our contributions and service to the industry.,1381622400
